"Time Period","Observation Value","Disaggregation classification","Reference Area Code (M49)","Time Detail","Nature of Data","Unit of Measurement","Reporting Type","Source","Reference Area Type","Reference Area Name"
2004,312.894451974955,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2004,330.71970467963,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2005,284.601681179148,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2005,299.96369723695,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2005,316.708770323077,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2006,273.694658702949,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2006,288.369765582212,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2006,303.911248797971,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2007,263.321738186246,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2007,277.682601940635,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2007,293.025633465057,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2008,254.687826443055,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2008,268.878645586361,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2008,284.367564364506,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2009,246.254286883852,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2009,260.632270198507,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2009,276.314696286661,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2010,238.093153453154,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2010,252.572497064658,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2010,268.963924068174,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2011,230.343122922301,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2011,245.312553990236,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2011,262.163788799041,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2012,223.603009563899,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2012,239.12008669965,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2012,256.982432922213,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2013,217.798422635884,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2013,233.849421748323,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2013,252.890065293449,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2014,213.271087406772,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2014,230.086035620503,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2014,250.67328857437,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2015,207.89269352548,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2015,225.190722279136,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2015,247.115563170925,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2016,202.801442971388,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2016,220.905905151606,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2016,244.214779638316,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2017,199.210223211838,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2017,218.001160082925,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2017,243.1058486223,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1985,836.384941478706,"Uncertainty bounds: lower bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1985,943.448837246288,"Uncertainty bounds: mid-point",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1985,1067.45312217993,"Uncertainty bounds: upper bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1986,822.362478691163,"Uncertainty bounds: lower bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1986,924.466421220046,"Uncertainty bounds: mid-point",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1986,1042.43004325325,"Uncertainty bounds: upper bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1987,811.05640189803,"Uncertainty bounds: lower bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1987,909.372796057606,"Uncertainty bounds: mid-point",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1987,1022.68426993506,"Uncertainty bounds: upper bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1988,799.576039612944,"Uncertainty bounds: lower bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1988,893.387010259106,"Uncertainty bounds: mid-point",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1988,1000.85652389706,"Uncertainty bounds: upper bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1989,795.710037895636,"Uncertainty bounds: lower bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1989,886.199676109257,"Uncertainty bounds: mid-point",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1989,989.403888687392,"Uncertainty bounds: upper bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1990,793.60055634839,"Uncertainty bounds: lower bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1990,879.947739407903,"Uncertainty bounds: mid-point",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1990,978.55659237126,"Uncertainty bounds: upper bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1991,780.939654837047,"Uncertainty bounds: lower bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1991,862.156671045964,"Uncertainty bounds: mid-point",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1991,955.05720415537,"Uncertainty bounds: upper bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1992,776.894915745132,"Uncertainty bounds: lower bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1992,855.184714104532,"Uncertainty bounds: mid-point",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1992,943.943380904205,"Uncertainty bounds: upper bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1993,776.816968934597,"Uncertainty bounds: lower bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1993,851.645012004933,"Uncertainty bounds: mid-point",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1993,937.908115607553,"Uncertainty bounds: upper bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1994,773.920518415086,"Uncertainty bounds: lower bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1994,847.549950940978,"Uncertainty bounds: mid-point",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1994,931.320057076476,"Uncertainty bounds: upper bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1995,768.274031323752,"Uncertainty bounds: lower bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1995,840.643899109098,"Uncertainty bounds: mid-point",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1995,921.915283299577,"Uncertainty bounds: upper bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1996,767.11584863948,"Uncertainty bounds: lower bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1996,837.633505254303,"Uncertainty bounds: mid-point",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1996,916.515657004987,"Uncertainty bounds: upper bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1997,760.798774041201,"Uncertainty bounds: lower bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1997,829.45100451956,"Uncertainty bounds: mid-point",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1997,904.866492660092,"Uncertainty bounds: upper bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1998,755.251846443944,"Uncertainty bounds: lower bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1998,821.104253413451,"Uncertainty bounds: mid-point",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1998,894.607415754851,"Uncertainty bounds: upper bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1999,750.525960701345,"Uncertainty bounds: lower bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1999,813.336384522914,"Uncertainty bounds: mid-point",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
1999,883.722266101563,"Uncertainty bounds: upper bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
2000,738.964441963233,"Uncertainty bounds: lower bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
2000,797.525821479449,"Uncertainty bounds: mid-point",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
2000,865.582674240882,"Uncertainty bounds: upper bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
2001,723.613276002614,"Uncertainty bounds: lower bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
2001,779.793851371466,"Uncertainty bounds: mid-point",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
2001,844.909843082511,"Uncertainty bounds: upper bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
2002,711.41001664301,"Uncertainty bounds: lower bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
2002,764.867456603635,"Uncertainty bounds: mid-point",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
2002,826.827069428484,"Uncertainty bounds: upper bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
2003,695.625051829962,"Uncertainty bounds: lower bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
2003,746.132520062162,"Uncertainty bounds: mid-point",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
2003,805.350540498289,"Uncertainty bounds: upper bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
2004,671.526264746308,"Uncertainty bounds: lower bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
2004,719.580555279073,"Uncertainty bounds: mid-point",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
2004,775.73766990197,"Uncertainty bounds: upper bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
2005,641.107309250736,"Uncertainty bounds: lower bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
2005,686.742779057976,"Uncertainty bounds: mid-point",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
2005,738.57601135112,"Uncertainty bounds: upper bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
2006,613.075659974119,"Uncertainty bounds: lower bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
2006,656.681399632587,"Uncertainty bounds: mid-point",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
2006,705.977854850935,"Uncertainty bounds: upper bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
2007,587.505018815755,"Uncertainty bounds: lower bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
2007,630.150680455924,"Uncertainty bounds: mid-point",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
2007,677.893596063317,"Uncertainty bounds: upper bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
2008,567.878320691579,"Uncertainty bounds: lower bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
2008,610.286525814239,"Uncertainty bounds: mid-point",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
2008,658.680896391877,"Uncertainty bounds: upper bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
2009,549.236835948275,"Uncertainty bounds: lower bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
2009,592.794820070182,"Uncertainty bounds: mid-point",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
2009,641.880509715748,"Uncertainty bounds: upper bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
2010,530.659529134976,"Uncertainty bounds: lower bound",2,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Africa (M49)"
