"year_start","year_end","iso_alpha_3_code","env_mat","env_pregrelated","env_total","final_pm","mmr","definition","live_births","include","include_reason","citation_short","refID","mdeathspluslate","ramos? (yes=1)","citation_long","comments","env_total_lifetables","live_births_lifetables","year_mid","type","obs_selogpm"
1999,2000,"CHN",NA,NA,NA,0.0237939690655731,58.7,"maternal",NA,TRUE,NA,"Chinese Health Statistical Digest 2004
",NA,NA,NA,NA,NA,416009,16862871,1999.5,"misc",NA
2000,2001,"CHN",NA,NA,NA,0.0225324859264786,53,"maternal",NA,TRUE,NA,"Chinese Health Statistical Digest 2008
",NA,NA,NA,NA,NA,412832,17551191,2000.5,"misc",NA
2001,2002,"CHN",NA,NA,NA,0.0204129818385969,50.2,"maternal",NA,TRUE,NA,"Chinese Health Statistical Digest 2008
",NA,NA,NA,NA,NA,407898,16586483,2001.5,"misc",NA
2002,2003,"CHN",NA,NA,NA,0.0175641756818131,43.2,"maternal",NA,TRUE,NA,"Chinese Health Statistical Digest 2008
",NA,NA,NA,NA,NA,402933,16382375,2002.5,"misc",NA
2003,2004,"CHN",NA,NA,NA,0.020934737236138,51.3,"maternal",NA,TRUE,NA,"Chinese Health Statistical Digest 2008
",NA,NA,NA,NA,NA,397509,16221728,2003.5,"misc",NA
2004,2005,"CHN",NA,NA,NA,0.020254463114159,48.3,"maternal",NA,TRUE,NA,"Chinese Health Statistical Digest 2008
",NA,NA,NA,NA,NA,392549,16461427,2004.5,"misc",NA
2005,2006,"CHN",NA,NA,NA,0.0205769171259091,47.7,"maternal",NA,TRUE,NA,"Chinese Health Statistical Digest 2008
",NA,NA,NA,NA,NA,384873,16602725,2005.5,"misc",NA
2006,2007,"CHN",NA,NA,NA,0.0182360153721108,41.1,"maternal",NA,TRUE,NA,"Chinese Health Statistical Digest 2008
",NA,NA,NA,NA,NA,380169,16868048,2006.5,"misc",NA
2007,2008,"CHN",NA,NA,NA,0.016869122691102,36.6,"maternal",NA,TRUE,NA,"Chinese Health Statistical Digest 2008
",NA,NA,NA,NA,NA,373230,17202357,2007.5,"misc",NA
2008,2009,"CHN",NA,NA,NA,0.015592581311067,34.2,"maternal",NA,TRUE,NA,"Chinese Health Statistical Digest 2013
",NA,NA,NA,NA,NA,388508,17712990,2008.5,"misc",NA
2009,2010,"CHN",NA,NA,NA,0.0157393639813928,31.9,"maternal",NA,TRUE,NA,"Chinese Health Statistical Digest 2013
",NA,NA,NA,NA,NA,365450,18031193,2009.5,"misc",NA
2010,2011,"CHN",NA,NA,NA,0.0146799818061122,30,"maternal",NA,TRUE,NA,"Chinese Health Statistical Digest 2013
",NA,NA,NA,NA,NA,366057,17912367,2010.5,"misc",NA
2011,2012,"CHN",NA,NA,NA,0.012741306248545,26.1,"maternal",NA,TRUE,NA,"Chinese Health Statistical Digest 2013
",NA,NA,NA,NA,NA,365125,17824404,2011.5,"misc",NA
2012,2013,"CHN",NA,NA,NA,0.0131045361255933,24.5,"maternal",NA,TRUE,NA,"Chinese Health Statistical Digest 2013
",NA,NA,NA,NA,NA,359828,19246445,2012.5,"misc",NA
2004,2006,"CHN",747,NA,36624,0.02,NA,"maternal",NA,TRUE,NA,"Third Survey on Mortality 2004-2005
",NA,NA,NA,NA,NA,777422,33064152,2005,"misc",NA
1992.25,1993.16,"EGY",772,NA,7487,0.1031,174,"maternal",443248,TRUE,NA,"NMMS 1992-1993
",NA,NA,NA,NA,NA,23237.1200000021,1739382.82000016,1992.705,"misc",NA
2000,2001,"EGY",585,639,8497,0.0688,84,"maternal",1752562,TRUE,NA,"NMMS 2000
",NA,NA,NA,NA,NA,23828,2001867,2000.5,"misc",NA
2004,2005,"EGY",1251,NA,21553,0.058042964,68,"maternal",NA,TRUE,NA,"NMMSS 2004
",NA,NA,NA,NA,NA,24746,2111602,2004.5,"misc",NA
2006,2007,"EGY",1143,NA,22292,0.051274,59,"maternal",NA,TRUE,NA,"NMMSS 2006
",NA,NA,NA,NA,NA,25528,2196664,2006.5,"misc",NA
2008,2009,"SLV",53,NA,NA,0.0224532189818182,51.09,"maternal",103721,TRUE,NA,"MoH 2009
",NA,NA,NA,NA,NA,2750,120858,2008.5,"misc",NA
2007,2008,"SLV",57,NA,NA,0.0254937077898551,56.93,"maternal",100111,TRUE,NA,"MoH 2009
",NA,NA,NA,NA,NA,2760,123595,2007.5,"misc",NA
2002.6,2003.5,"ERI",41,NA,248,0.165322581,631,"maternal",NA,TRUE,NA,"Determining the Level of Maternal Mortality in Eritrea using RAMOS 2002-2003
",NA,NA,NA,NA,NA,2495.60000000025,80251.2000000081,2003.05,"misc",NA
2000,2001,"FJI",10,NA,NA,0.0232870197628458,57.6,"maternal",17366,TRUE,NA,"Maternal Mortality in Fiji 2008-2012
",NA,NA,NA,NA,NA,506,20457,2000.5,"misc",NA
2001,2002,"FJI",7,NA,NA,0.0163199337231969,40.6,"maternal",17222,TRUE,NA,"Maternal Mortality in Fiji 2008-2012
",NA,NA,NA,NA,NA,513,20621,2001.5,"misc",NA
2002,2003,"FJI",6,NA,NA,0.0132590863309353,35.3,"maternal",17002,TRUE,NA,"Maternal Mortality in Fiji 2008-2012
",NA,NA,NA,NA,NA,556,20884,2002.5,"misc",NA
2003,2004,"FJI",8,NA,NA,0.0166898525754885,44.7,"maternal",17910,TRUE,NA,"Maternal Mortality in Fiji 2008-2012
",NA,NA,NA,NA,NA,563,21021,2003.5,"misc",NA
2004,2005,"FJI",11,NA,NA,0.023145964664311,62.1,"maternal",17714,TRUE,NA,"Maternal Mortality in Fiji 2008-2012
",NA,NA,NA,NA,NA,566,21096,2004.5,"misc",NA
2005,2006,"FJI",9,NA,NA,0.0190998214285714,50.5,"maternal",17826,TRUE,NA,"Maternal Mortality in Fiji 2008-2012
",NA,NA,NA,NA,NA,560,21180,2005.5,"misc",NA
2006,2007,"FJI",8,NA,NA,0.0166031484794276,43.5,"maternal",18394,TRUE,NA,"Maternal Mortality in Fiji 2008-2012
",NA,NA,NA,NA,NA,559,21336,2006.5,"misc",NA
2007,2008,"FJI",6,NA,NA,0.0117205716814159,31.1,"maternal",19298,TRUE,NA,"Maternal Mortality in Fiji 2008-2012
",NA,NA,NA,NA,NA,565,21293,2007.5,"misc",NA
2008,2009,"FJI",7,16,NA,0.0137803716814159,37,"maternal",18944,TRUE,NA,"Maternal Mortality in Fiji 2008-2012
",NA,NA,NA,NA,NA,565,21043,2008.5,"misc",NA
2009,2010,"FJI",5,8,NA,0.009805,26.5,"maternal",18854,TRUE,NA,"Maternal Mortality in Fiji 2008-2012
",NA,NA,NA,NA,NA,560,20720,2009.5,"misc",NA
2010,2011,"FJI",5,9,NA,0.00844508823529412,22.6,"maternal",22089,TRUE,NA,"Maternal Mortality in Fiji 2008-2012
",NA,NA,NA,NA,NA,544,20328,2010.5,"misc",NA
2011,2012,"FJI",8,12,NA,0.0145567551401869,39.2,"maternal",20425,TRUE,NA,"Maternal Mortality in Fiji 2008-2012
",NA,NA,NA,NA,NA,535,19867,2011.5,"misc",NA
2012,2013,"FJI",12,16,NA,0.0203983767361111,59.5,"maternal",20178,TRUE,NA,"Maternal Mortality in Fiji 2008-2012
",NA,NA,NA,NA,NA,576,19747,2012.5,"misc",NA
1985.54,1990.54,"GTM",NA,19,NA,0.0606078862100696,105,"pregn",NA,TRUE,NA,"DHS 1995
",NA,NA,NA,NA,NA,29646.56,1711252.7,1988.04,"misc",NA
1990.54,1995.54,"GTM",NA,35,NA,0.105859086318056,190,"pregn",NA,TRUE,NA,"DHS 1995
",NA,NA,NA,NA,NA,33583.24,1871100.58,1993.04,"misc",NA
2016,2017,"GTM",462,NA,6150,0.075121951,113.8,"maternal",405954,TRUE,NA,"Surveillance 2016-2017",NA,NA,NA,NA,NA,6298,422285,2016.5,"misc",NA
2017,2018,"GTM",447,NA,6186,0.072259942,110,"maternal",406257,TRUE,NA,"Surveillance 2016-2017",NA,NA,NA,NA,NA,6292,417021,2017.5,"misc",NA
2014,2017,"IND",556,NA,NA,0.0553810612784493,130,"maternal",426861,TRUE,NA,"Maternal Mortality 2014-2016",NA,NA,NA,NA,NA,1770035,75404936,2015.5,"misc",NA
2011,2014,"IND",718,NA,NA,0.070773726224946,167,"maternal",430000,TRUE,NA,"Maternal Mortality 2011-2013",NA,NA,NA,NA,NA,1866715,79110405,2012.5,"misc",NA
2010,2013,"IND",767,NA,NA,0.075039137866267,178,"maternal",430170,TRUE,NA,"Maternal Mortality 2010-2012
",NA,NA,NA,NA,NA,1898035,80015118,2011.5,"misc",NA
2007,2010,"IND",926,NA,NA,0.0867323931191285,212,"maternal",436411,TRUE,NA,"Maternal Mortality 2007-2009
",NA,NA,NA,NA,NA,1997247,81710383,2008.5,"misc",NA
2004,2007,"IND",1110,NA,NA,0.101750050450507,254,"maternal",436648,TRUE,NA,"Maternal Mortality 2004-2006
",NA,NA,NA,NA,NA,2102853,84238346,2005.5,"misc",NA
1997,1999,"IND",1589,NA,NA,0.157040503592324,398,"maternal",399412,TRUE,NA,"Maternal Mortality 1997-1998
",NA,NA,NA,NA,NA,1454351,57384928,1998,"misc",NA
1999,2002,"IND",1512,NA,NA,0.129464305573963,327,"maternal",462355,TRUE,NA,"Maternal Mortality 1999-2001",NA,NA,NA,NA,NA,2203172,87226952,2000.5,"misc",NA
1998,2000,"IND",NA,NA,NA,0.211870117585744,540,"maternal",NA,TRUE,NA,"NFHS-2: 1998-1999
",NA,NA,NA,NA,NA,1465909,57515243,1999,"misc",NA
2001,2004,"IND",1383,NA,NA,0.120464215759713,301,"maternal",459631,TRUE,NA,"Million Death Study 2001-2003",NA,NA,NA,NA,NA,2180027,87247589,2002.5,"misc",NA
1991,1993,"IND",NA,NA,NA,0.183608271226551,437,"maternal",NA,TRUE,NA,"NFHS-1: 1992-1993
",NA,NA,NA,NA,NA,1348806,56670924,1992,"misc",NA
2002,2003,"IRN",308,NA,NA,0.0125277323159936,27.4,"maternal",NA,TRUE,NA,"Surveillance System
",NA,NA,NA,NA,NA,23722,1084609,2002.5,"misc",NA
2003,2004,"IRN",332,NA,NA,0.0131032104949728,28.3,"maternal",NA,TRUE,NA,"Surveillance System
",NA,NA,NA,NA,NA,23582.83209436,1091911,2003.5,"misc",NA
2004,2005,"IRN",278,NA,17609,0.015787381,24.1,"maternal",NA,TRUE,NA,"Surveillance System
",NA,NA,NA,NA,NA,23958,1136441,2004.5,"misc",NA
2005,2006,"IRN",295,NA,18258,0.016157301,23.8,"maternal",NA,TRUE,NA,"Surveillance System
",NA,NA,NA,NA,NA,24496,1176881,2005.5,"misc",NA
2006,2007,"IRN",273,NA,18427,0.014815217,21.7,"maternal",NA,TRUE,NA,"Surveillance System
",NA,NA,NA,NA,NA,24659,1227485,2006.5,"misc",NA
2007,2008,"IRN",318,NA,18859,0.016861976,24.7,"maternal",NA,TRUE,NA,"Surveillance System
",NA,NA,NA,NA,NA,24860,1266093,2007.5,"misc",NA
2008,2009,"IRN",272,NA,22505,0.012086203,20.9,"maternal",NA,TRUE,NA,"Surveillance System
",NA,NA,NA,NA,NA,24827,1290890,2008.5,"misc",NA
2009,2010,"IRN",343,NA,26582,0.012903469,25.4,"maternal",NA,TRUE,NA,"Surveillance System
",NA,NA,NA,NA,NA,24648,1311757,2009.5,"misc",NA
2010,2011,"IRN",301,NA,22562,0.013341016,22.1,"maternal",NA,TRUE,NA,"Surveillance System
",NA,NA,NA,NA,NA,24347,1337544,2010.5,"misc",NA
2011,2012,"IRN",297,NA,20285,0.014641361,21.5,"maternal",NA,TRUE,NA,"Surveillance System
",NA,NA,NA,NA,NA,23932,1385254,2011.5,"misc",NA
2012,2013,"IRN",278,NA,18718,0.014852014,19.9,"maternal",NA,TRUE,NA,"Surveillance System
",NA,NA,NA,NA,NA,23492,1439653,2012.5,"misc",NA
2013,2014,"IRN",291,NA,18080,0.016095133,19.7,"maternal",NA,TRUE,NA,"Surveillance System
",NA,NA,NA,NA,NA,22855,1490131,2013.5,"misc",NA
2011,2013,"IRQ",NA,382,6383,0.059846467,35,"maternal",NA,TRUE,NA,"Mortality Survey 2013
",NA,NA,NA,NA,NA,30407,2313792,2012,"misc",NA
1990,1999,"IRQ",NA,393,1377,0.28540305,291,"pregn",NA,TRUE,NA,"ICMMS 1999
",NA,NA,NA,NA,NA,104272,6937638,1994.5,"misc",NA
2017,2018,"LBN",21,NA,659,0.031866464,17,"maternal",124597,FALSE,"Dublicate study included","Surveillance 2017-2018",NA,NA,NA,NA,NA,1110,114874,2017.5,"misc",NA
2018,2019,"LBN",17,NA,622,0.02733119,13.4,"maternal",127143,FALSE,"Dublicate study included","Surveillance 2017-2019",NA,NA,NA,NA,NA,1062,108255,2018.5,"misc",NA
2005.2,2006.2,"LSO",NA,NA,NA,0.0692147565038068,939,"pregn",NA,TRUE,NA,"Census 2006",NA,NA,NA,NA,NA,7564.80000000003,55761,2005.7,"misc",NA
1992,1993,"MNG",129,NA,NA,0.0971621929046563,203.9,"maternal",NA,TRUE,NA,"Country Consultation in 2015: MoHS
",NA,NA,NA,NA,NA,1353,64473,1992.5,"misc",NA
1993,1994,"MNG",124,NA,NA,0.118098369565217,259,"maternal",NA,TRUE,NA,"Country Consultation in 2015: MoHS
",NA,NA,NA,NA,NA,1288,58730,1993.5,"misc",NA
1994,1995,"MNG",116,NA,NA,0.0936220849128127,219,"maternal",NA,TRUE,NA,"Country Consultation in 2015: MoHS
",NA,NA,NA,NA,NA,1319,56387,1994.5,"misc",NA
1995,1996,"MNG",101,NA,NA,0.0767215758468336,186,"maternal",NA,TRUE,NA,"Country Consultation in 2015: MoHS
",NA,NA,NA,NA,NA,1358,56015,1995.5,"misc",NA
1996,1997,"MNG",90,NA,NA,0.0661418346020761,173.7,"maternal",NA,TRUE,NA,"Country Consultation in 2015: MoHS
",NA,NA,NA,NA,NA,1445,55023,1996.5,"misc",NA
1997,1998,"MNG",71,NA,NA,0.0493831829980532,143.5,"maternal",NA,TRUE,NA,"Country Consultation in 2015: MoHS
",NA,NA,NA,NA,NA,1541,53031,1997.5,"misc",NA
1998,1999,"MNG",80,NA,NA,0.0529752911392405,162.4,"maternal",NA,TRUE,NA,"Country Consultation in 2015: MoHS
",NA,NA,NA,NA,NA,1580,51540,1998.5,"misc",NA
1999,2000,"MNG",90,NA,NA,0.05984402822322,182,"maternal",NA,TRUE,NA,"Country Consultation in 2015: MoHS
",NA,NA,NA,NA,NA,1559,51262,1999.5,"misc",NA
2000,2001,"MNG",81,NA,NA,0.0574487122545701,166.2,"maternal",NA,TRUE,NA,"Country Consultation in 2015: MoHS
",NA,NA,NA,NA,NA,1477,51054,2000.5,"misc",NA
2001,2002,"MNG",82,NA,NA,0.0576695682451254,165,"maternal",NA,TRUE,NA,"Country Consultation in 2015: MoHS
",NA,NA,NA,NA,NA,1436,50190,2001.5,"misc",NA
2002,2003,"MNG",57,NA,NA,0.0408606855955679,121.5,"maternal",NA,TRUE,NA,"Country Consultation in 2015: MoHS
",NA,NA,NA,NA,NA,1444,48562,2002.5,"misc",NA
2003,2004,"MNG",49,NA,NA,0.0335415462408516,107.2,"maternal",NA,TRUE,NA,"Country Consultation in 2015: MoHS
",NA,NA,NA,NA,NA,1503,47027,2003.5,"misc",NA
2004,2005,"MNG",44,NA,NA,0.0292230148578811,96.7,"maternal",NA,TRUE,NA,"Country Consultation in 2015: MoHS
",NA,NA,NA,NA,NA,1548,46781,2004.5,"misc",NA
2005,2006,"MNG",42,NA,NA,0.028667730994152,92.7,"maternal",NA,TRUE,NA,"Country Consultation in 2015: MoHS
",NA,NA,NA,NA,NA,1539,47594,2005.5,"misc",NA
2006,2007,"MNG",33,NA,NA,0.0233143779421654,67.2,"maternal",NA,TRUE,NA,"Country Consultation in 2015: MoHS
",NA,NA,NA,NA,NA,1487,51590,2006.5,"misc",NA
2007,2008,"MNG",50,NA,NA,0.0356989645892351,88.3,"maternal",NA,TRUE,NA,"Country Consultation in 2015: MoHS
",NA,NA,NA,NA,NA,1412,57086,2007.5,"misc",NA
2008,2009,"MNG",31,NA,NA,0.0217473773987207,48.6,"maternal",NA,TRUE,NA,"Country Consultation in 2015: MoHS
",NA,NA,NA,NA,NA,1407,62960,2008.5,"misc",NA
2009,2010,"MNG",56,NA,NA,0.0372831106471816,81,"maternal",NA,TRUE,NA,"Country Consultation in 2015: MoHS
",NA,NA,NA,NA,NA,1437,66143,2009.5,"misc",NA
2010,2011,"MNG",30,NA,NA,0.0206755513256288,47.4,"maternal",NA,TRUE,NA,"Country Consultation in 2015: MoHS
",NA,NA,NA,NA,NA,1471,64164,2010.5,"misc",NA
2011,2012,"MNG",34,NA,NA,0.0223201652949246,48.7,"maternal",NA,TRUE,NA,"Country Consultation in 2015: MoHS
",NA,NA,NA,NA,NA,1458,66823,2011.5,"misc",NA
2012,2013,"MNG",38,NA,NA,0.0258896978215039,51.5,"maternal",NA,TRUE,NA,"Country Consultation in 2015: MoHS
",NA,NA,NA,NA,NA,1423,71536,2012.5,"misc",NA
2013,2014,"MNG",34,NA,NA,0.0237387805937726,42.6,"maternal",NA,TRUE,NA,"Country Consultation in 2015: MoHS
",NA,NA,NA,NA,NA,1381,76956,2013.5,"misc",NA
2014,2015,"MNG",25,NA,NA,0.0174406671586716,30.2,"maternal",NA,TRUE,NA,"Country Consultation in 2015: MoHS
",NA,NA,NA,NA,NA,1355,78252,2014.5,"misc",NA
2009,2010,"MAR",NA,648,13128,0.049,112,"pregn",NA,TRUE,NA,"National Demographic Survey 2009-2010
",NA,NA,NA,NA,NA,13863,701896,2009.5,"misc",NA
1992,1997,"MAR",NA,63,NA,0.0859770241005938,228,"pregn",NA,TRUE,NA,"ENSME 1997
",NA,NA,NA,NA,NA,91616,3454768,1994.5,"misc",NA
1998.67,1999.67,"MMR",NA,NA,NA,0.0656695969013555,255,"pregn",NA,TRUE,NA,"NMS 1999
",NA,NA,NA,NA,NA,40746.85,1049344.79,1999.17,"misc",NA
2004,2005,"MMR",71,NA,NA,0.0773113961549609,315.86,"maternal",22478,TRUE,NA,"NMMS 2004-2005
",NA,NA,NA,NA,NA,41404,1013424,2004.5,"misc",NA
2008.38,2009.38,"NPL",160,172,1496,0.106951872,229,"maternal",69775,FALSE,"Study not nationally representative","MMMS 2008-2009
",NA,NA,NA,NA,NA,15250.5800000001,637013.379999999,2008.88,"misc",NA
1991,1992,"OMN",13,13,NA,0.0386055088495575,27.4,"maternal",47497,TRUE,NA,"Vital Registration and Surveillance 1991-2018",NA,NA,NA,NA,NA,452,63685,1991.5,"misc",NA
1992,1993,"OMN",9,13,NA,0.0225159074492099,15.9,"maternal",56747,TRUE,NA,"Vital Registration and Surveillance 1991-2018",NA,NA,NA,NA,NA,443,62733,1992.5,"misc",NA
1993,1994,"OMN",4,4,NA,0.00856972222222222,6,"maternal",66667,TRUE,NA,"Vital Registration and Surveillance 1991-2018",NA,NA,NA,NA,NA,432,61702,1993.5,"misc",NA
1994,1995,"OMN",13,13,NA,0.0349629503546099,24.4,"maternal",53388,TRUE,NA,"Vital Registration and Surveillance 1991-2018",NA,NA,NA,NA,NA,423,60612,1994.5,"misc",NA
1995,1996,"OMN",12,15,NA,0.0316842822384428,22,"maternal",54519,TRUE,NA,"Vital Registration and Surveillance 1991-2018",NA,NA,NA,NA,NA,411,59192,1995.5,"misc",NA
1996,1997,"OMN",10,10,NA,0.0305634,21,"maternal",47619,TRUE,NA,"Vital Registration and Surveillance 1991-2018",NA,NA,NA,NA,NA,400,58216,1996.5,"misc",NA
1997,1998,"OMN",6,8,NA,0.019498141025641,13.3,"maternal",44944,TRUE,NA,"Vital Registration and Surveillance 1991-2018",NA,NA,NA,NA,NA,390,57175,1997.5,"misc",NA
1998,1999,"OMN",9,9,NA,0.0273342368421053,18.5,"maternal",48662,TRUE,NA,"Vital Registration and Surveillance 1991-2018",NA,NA,NA,NA,NA,380,56146,1998.5,"misc",NA
1999,2000,"OMN",7,11,NA,0.0204550970350404,13.7,"maternal",51000,TRUE,NA,"Vital Registration and Surveillance 1991-2018",NA,NA,NA,NA,NA,371,55393,1999.5,"misc",NA
2000,2001,"OMN",9,13,NA,0.0240655192307692,16.1,"maternal",55942,TRUE,NA,"Vital Registration and Surveillance 1991-2018",NA,NA,NA,NA,NA,364,54409,2000.5,"misc",NA
2001,2002,"OMN",12,13,NA,0.0344729,23.1,"maternal",51948,TRUE,NA,"Vital Registration and Surveillance 1991-2018",NA,NA,NA,NA,NA,360,53724,2001.5,"misc",NA
2002,2003,"OMN",18,21,NA,0.055125,37.5,"maternal",47949,TRUE,NA,"Vital Registration and Surveillance 1991-2018",NA,NA,NA,NA,NA,363,53361,2002.5,"misc",NA
2003,2004,"OMN",10,13,NA,0.0334174308943089,23.2,"maternal",43134,TRUE,NA,"Vital Registration and Surveillance 1991-2018",NA,NA,NA,NA,NA,369,53151,2003.5,"misc",NA
2004,2005,"OMN",8,11,NA,0.026195,18.5,"maternal",43262,TRUE,NA,"Vital Registration and Surveillance 1991-2018",NA,NA,NA,NA,NA,370,52390,2004.5,"misc",NA
2005,2006,"OMN",7,12,NA,0.0208674052631579,15.4,"maternal",45599,TRUE,NA,"Vital Registration and Surveillance 1991-2018",NA,NA,NA,NA,NA,380,51491,2005.5,"misc",NA
2006,2007,"OMN",6,7,NA,0.0158093187660668,12.1,"maternal",49399,TRUE,NA,"Vital Registration and Surveillance 1991-2018",NA,NA,NA,NA,NA,389,50825,2006.5,"misc",NA
2007,2008,"OMN",11,16,NA,0.0260202457420925,20.9,"maternal",52619,TRUE,NA,"Vital Registration and Surveillance 1991-2018",NA,NA,NA,NA,NA,411,51169,2007.5,"misc",NA
2008,2009,"OMN",9,12,NA,0.0207492917705736,15.4,"maternal",58331,TRUE,NA,"Vital Registration and Surveillance 1991-2018",NA,NA,NA,NA,NA,401,54029,2008.5,"misc",NA
2009,2010,"OMN",10,14,NA,0.0227148070175439,15.4,"maternal",64735,TRUE,NA,"Vital Registration and Surveillance 1991-2018",NA,NA,NA,NA,NA,399,58852,2009.5,"misc",NA
